"Canada Mortgage and Housing Corporation, average rents for areas with a population of 10,000 and over 1 2 3"
"Frequency: Annual"
"Table: 34-10-0133-01 (formerly CANSIM 027-0040)"
"Release date: 2023-03-17"
"Geography: Census subdivision, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Geography","Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,
"Type of unit","Bachelor units",,,,,,,,,,,,,,,,,,,,,
"Type of structure","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,
"Row and apartment structures of three units and over","695","729","731","727","724","740","740","764","758","777","819","837","873","896","937","957","1,013","1,081","1,142","1,204","1,217","1,305"
"Row structures of three units and over","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Apartment structures of three units and over","695","729","731","727","724","740","740","764","758","777","819","837","873","896","937","957","1,013","1,080","1,141","1,204","1,217","1,305"
"Apartment structures of six units and over","699","732","734","731","727","743","742","768","761","778","822","841","878","900","941","959","1,016","1,083","1,150","1,206","1,217","1,311"

Symbol legend:
F, too unreliable to be published




Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href="https://www.cmhc-schl.gc.ca/about-us/terms-conditions/hmip-terms-conditions" rel="external noopener noreferrer" target="_blank"> CMHC Licence Agreement for the Use of Data (opens new window)</a>."
3,"For additional information and definitions, refer to <a href="https://www.cmhc-schl.gc.ca/professionals/housing-markets-data-and-research/housing-research/surveys/methods/methodology-rental-market-survey" rel="external noopener noreferrer" target="_blank">CMHC Rental Market Survey Methodology and Definitions (opens new window)</a>."



"How to cite: Statistics Canada. Table 34-10-0133-01  Canada Mortgage and Housing Corporation, average rents for areas with a population of 10,000 and over"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013301